,Company,Location,Salary,Synopsis,Title
335,VoicePlus Services,Islamabad,None,We are looking for a Business Analyst / Data Scientist who can produce valuable insights gained by analysing data from multiple streams.,Senior Business Analyst / Data Scientist
336,iENGINEERING,Islamabad,None,Participate in database modeling and design from the perspective of an engineer user to ensure the engineering data are stored and accessed seamlessly while…,Transportation Data Analyst
337,Jazz Telecom,Islamabad,None,"Meet relevant stakeholders from different team e.g. Pricing, DFS, Segments, Data Scientists, BI, CVM etc.Develop understanding of BI tools and data science…",Business Analyst
338,Veon,Islamabad,None,"Meet relevant stakeholders from different team e.g. Pricing, DFS, Segments, Data Scientists, BI, CVM etc.Develop understanding of BI tools and data science…",Business Analyst
339,Glowlogix Pvt. Ltd,Islamabad,"Rs 25,000 - Rs 50,000 a month",Work with data scientists and analysts to improve software.Create security and data protection settings.We are looking for a Full Stack Developer to produce…,Full Stack Developer
340,ALM Human Resources ( Cyber Network Security Speci...,Islamabad,None,ALM Human Resources Looking for.Programmer / Web Developer / Software Engineer.With Mini 3 years of experience.Job 1 Year Contract (Extendable).,Programmer / Web Developer / Software Engineer
341,PackageX,Islamabad,None,Work with and help implement data models/data schema’s for data scientists & data analyst to build visualizations & statistical/predictive models.,Python Developer
342,Pocketle,Islamabad,"Rs 63,000 a month","Recognizing Pakistan’s significant technology talent, Pocketle aims to hire Software Engineers, Data Scientists, and Quality Engineers over the next three years…",Senior React Native / Flutter Developer
343,iENGINEERING,Islamabad,None,Well versed in Data Warehousing concepts.Knowledge of Big Data concepts is a plus.Hands on experience in using latest data modelling tools.,Senior Database Developer
344,Jazz Telecom,Islamabad,None,"Develop systems understanding of Jazz EDW, DMP (Big Data) and all integrated platforms within the Data Analytics & Insights eco-system.Within 30 days you will:",Data Engineer
345,Veon,Islamabad,None,"Develop systems understanding of Jazz EDW, DMP (Big Data) and all integrated platforms within the Data Analytics & Insights eco-system.Within 30 days you will:",Data Engineer
346,ALTUMED (Cube Healthcare Systems Pvt Ltd),Islamabad,"Rs 75,000 a month","We, at AltuMed, are currently looking for a Software Engineer at our Islamabad Office.Experience OR knowledge of creating a modeling platforms using big data…",Jr. Software Engineer (AI Associate)
347,Bahria Enterprise Systems & Technologies (BEST),Islamabad,None,Experience in building production level software system preferably with Python and C++.b.Experience in architecting and building large scale batch processing…,Data Engineer
348,PackageX,Islamabad,None,"We are looking for an experienced Network/System Engineer with exceptional troubleshooting skills, a passion for teamwork with can do attitude.",Network System Engineer
349,Broadpeak Technologies,Islamabad,None,Analyze instrumentation data to understand and resolve issues.3 year(s) or above experience.Design and develop applications as per the instructions provided…,Software Engineer
350,Ciklum,Islamabad,None,"Contributes design, code, configurations, and documentation for components that manage data ingestion, real time streaming, batch processing, data extraction,…",Data Engineer
351,Broadpeak Technologies,Islamabad,None,Lead and mentor junior engineers.Data Driver Model and Hybrid Model).8 year(s) or above experience.Work with business and the engineering teams to understand…,Sr. Automation Engineer
352,RYTHM Traders,Islamabad,None,"Maintains product data base by writing computer programs;Evaluates electrical systems, products, components, and applications by designing and conducting…",Electrical Engineer Intern
353,Ciklum,Islamabad,None,"At least 3-5 Years of Professional Experience as Data Scientist or Machine Learning Engineer.On behalf of Ciklum Digital, we are looking for a Data Scientist…",Data Scientist
354,Broadpeak Technologies,Islamabad,None,Analyze instrumentation data to understand and resolve issues.4 year(s) or above experience.Analyze customer requirements to design and develop applications…,Senior Software Engineer
355,INNEXIV,Islamabad,None,Experienced Black Belt Six Sigma process engineer.Our industrial platform ecosystem is providing digital intelligence and deeper data insights leading to…,Process Engineer
356,Quaid Technologies,Islamabad,None,Quaid Technologies is looking for a QA Engineer.Analyze data to identify areas for improvement in the quality system.,Quality Assurance Engineer
357,SkyElectric,Islamabad,None,"Degree in electrical engineering, computer engineer, a related discipline, or equivalent work experience.Ability to manage multiple tasks or projects.",PCB Designer
358,iENGINEERING,Islamabad,None,Participate in database modeling and design from the perspective of an engineer user to ensure the engineering data are stored and accessed seamlessly while…,Transportation Data Analyst
359,Solved Engineering Inc.,Islamabad,"Rs 30,000 - Rs 40,000 a month","Plan, organize, control and evaluate IT and electronic data operations.Responding / preparing documents i.e. RFPs.Managing social media pages and content.",Document Drafter / Data Analyst
360,Tile Mountain / CreteSol,Islamabad,None,"MS Suite and have a proven background in data analysis.The successful candidate will have exceptional data analytical capability and able to export, manipulate…",Data Analyst
361,Cobblestone Energy,Islamabad,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.We make use of advanced data analytics and extensive research to drive profitable…","JUNIOR TRADER / ANALYST - Dubai, UAE"
362,iENGINEERING,Islamabad,None,Transportation Data Analyst will be a core team player for the Applied Research Group.Participate in database modeling and design from the perspective of an…,Transportation Data Analyst
363,Wiseman Innovations,Islamabad,None,"The Business Intelligence Analyst gathers data from multiple sources, analyzes data, and creates metrics to drive clinical and operational performance…",Business Intelligence Analyst
364,Jazz Telecom,Islamabad,None,"Develop understanding of BI tools and data science capabilities.Identify the reasons for various business problems (churn, data penetration, 4G growth etc.).",Business Analyst
365,Veon,Islamabad,None,"Develop understanding of BI tools and data science capabilities.Identify the reasons for various business problems (churn, data penetration, 4G growth etc.).",Business Analyst
366,Zia Masood Kiani & Co. Chartered Accountants,Islamabad,None,"Set up a telephonic counseling service, integrated with the web portal to allow referral pathways, consolidate, and report data.",Mental Health Analyst
367,Vertechs Meical Billing,Islamabad,"Rs 30,000 - Rs 42,000 a month","Knowledge about Data Conversion and EMR implementation.Quality & AR Analyst, Denial management, AR Specialist and AR Follow Up.",Quality Executive (Medical Billing)
368,Alhazen Technologies,Islamabad,None,"Verify database and data integrity.Extensive knowledge of data processing, enterprise software applications, web development, and user support.",Systems Analyst
369,VoicePlus Services,Islamabad,None,We are looking for a Business Analyst / Data Scientist who can produce valuable insights gained by analysing data from multiple streams.,Senior Business Analyst / Data Scientist
370,Zia Masood Kiani & Co. Chartered Accountants,Islamabad,None,Support the Planning Commission in developing a mechanism for collecting sex-aggregated data and information periodically from relevant government departments…,Child & Gender Protection Analyst
371,Bentley Systems,Islamabad,None,"Consolidate, clean and analyze data from large disparate data sets, queries, and reports present in operational and financial systems.",Business Analyst
372,e-Strats,Islamabad,None,Analyze qualitative and quantitative data to uncover competition and industry information.Perform research tasks with a view to gathering data pertaining to…,Business Analyst Intern
373,HC Recruitment,Islamabad,None,"Currently, we are looking for a motivated, reliable, proactive and hard-working individual who will join the team on the Crypto Research Analyst position.",Market Research Analyst
374,Jazz Telecom,Islamabad,None,"Able to answer complex business questions through Adhoc Analysis.Identify the reasons for various business problems (churn, data penetration, 4G growth etc.).",Business Analyst
375,Veon,Islamabad,None,"Able to answer complex business questions through Adhoc Analysis.Identify the reasons for various business problems (churn, data penetration, 4G growth etc.).",Business Analyst
376,Wiseman Innovations,Islamabad,None,"The Business Intelligence Analyst gathers data from multiple sources, analyzes data, and creates metrics to drive clinical and operational performance…",Business Intelligence Analyst
377,e-Strats,Islamabad,None,E-strats is seeking a motivated business analyst intern who will apply knowledge of business practices and processes in a fast-paced environment.,Business Analyst Intern
378,Bentley Systems,Islamabad,None,Cloud Finance team requires a business analyst with experience in SQL/M/DAX and Azure ecosystem to improve upon existing reporting and help with new reporting…,Business Analyst
379,Islamabad Recruitment Company Pakistan (IRCO),Islamabad,None,Islamabad Recruitment Company (IRCo) is hiring for a client company and you can apply or recommend.BS or Masters in Computer Science/Software Engineering…,Business Analyst
380,Cobblestone Energy,Islamabad,None,"Junior Trader / Analyst - Commercial Development Programme - Dubai, UAE.Technology and risk management form the backbone of our business.","JUNIOR TRADER / ANALYST - Dubai, UAE"
381,NineSol Technology,Islamabad,"Rs 20,000 - Rs 30,000 a month","Ninesol Technologies is looking for Quality Assurance Analyst.Write test cases based on business requirements, use cases, technical requirements and design…",Quality Assurance Analyst
382,AT Technology Services Ltd,Islamabad,None,"Excellent English language verbal and written communication skills.Must be mid-top range, experienced with 3-5 years in similar post.",Senior Software Business Analyst
383,Alhazen Technologies,Islamabad,None,"Willingness to work occasionally outside of normal business hours.This position reports to the Project Manager, and will work closely with the Enterprise…",Systems Analyst
